ID,Title,Year,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors,Type
311,The Pixar Story,2007,7.0,7.8,1,0,0,0,Leslie Iwerks,0
312,Child's Play,1988,18.0,6.6,1,0,1,0,Lars Klevberg,0
313,Springsteen On Broadway,2018,,8.5,1,0,0,0,Thom Zimny,0
314,The Angry Birds Movie 2,2019,7.0,6.4,1,0,0,0,"Thurop Van Orman,John Rice",0
315,Obvious Child,2014,18.0,6.8,1,0,0,0,Gillian Robespierre,0
316,Awe!,2018,,7.8,1,0,0,0,Prasanth Varma,0
317,American Honey,2016,18.0,7.0,1,0,0,0,Andrea Arnold,0
318,Last Breath,2019,,7.7,1,0,0,0,"Richard da Costa,Alex Parkinson",0
319,Udta Punjab,2016,18.0,7.8,1,0,0,0,Abhishek Chaubey,0
320,Den of Thieves,2018,18.0,7.0,1,0,0,0,Christian Gudegast,0
321,Wadjda,2012,7.0,7.5,1,0,0,0,Haifaa Al-Mansour,0
322,The Spiderwick Chronicles,2008,7.0,6.5,1,0,0,0,Mark Waters,0
323,The Christmas Chronicles,2018,7.0,7.1,1,0,1,0,Clay Kaytis,0
324,Turbo,2013,7.0,6.4,1,0,0,0,David Soren,0
325,My Girl,1991,7.0,6.9,1,0,0,0,Howard Zieff,0
326,22-Jul,2018,18.0,6.8,1,0,0,0,Paul Greengrass,0
327,Adam Sandler: 100% Fresh,2018,18.0,7.6,1,0,0,0,"Steven Brill,Nicholaus Goossen",0
328,Remember,2015,18.0,7.5,1,0,1,0,Atom Egoyan,0
